index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,Month,Weekday
22017,171-6258725-5356366,2022-04-17,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,SET044,SET044-KR-NP-S,Set,S,B07Q2M4W2P,Shipped,1,INR,612.0,Raigarh,CHHATTISGARH,496001.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-R7GXNZWISTRFA,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-P3CSUAK4HTEP2,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-XX7G3ZRJJJ5LG,Amazon PLCC Free-Financing Universal Merchant AAT-LEHCKNDBJG64E,Amazon PLCC Free-Financing Universal Merchant AAT-DJVHCEV7D7RQY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,2022-04,Sunday
126373,405-1245828-0748334,2022-06-02,Shipped,Amazon,Amazon.in,Expedited,J0349,J0349-SET-L,Set,L,B099NMQR6C,Shipped,1,INR,845.0,GURUGRAM,HARYANA,122101.0,IN,,False,,2022-06,Thursday
103138,407-9714043-6839511,2022-06-19,Cancelled,Amazon,Amazon.in,Expedited,J0277,J0277-SKD-S,Set,S,B08QGL2FCR,Unshipped,1,INR,1323.0,SILCHAR,ASSAM,788005.0,IN,,False,,2022-06,Sunday
112483,404-7405704-1890731,2022-06-12,Shipped,Amazon,Amazon.in,Expedited,J0373,J0373-KR-XXL,kurta,XXL,B09KXNV41S,Shipped,1,INR,558.0,BENGALURU,KARNATAKA,560029.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,2022-06,Sunday
108795,407-0431296-4671554,2022-06-14,Shipped,Amazon,Amazon.in,Expedited,J0208,J0208-DR-XL,Western Dress,XL,B0967PFQV3,Shipped,1,INR,599.0,NTPC KANIHA TOWNSHIP,ODISHA,759147.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,2022-06,Tuesday
1852,407-2954328-9057925,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,J0349,J0349-SET-XXXL,Set,3XL,B099NJBZMD,Shipped,1,INR,852.0,BENGALURU,KARNATAKA,560037.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,2022-04,Friday
856,406-5651070-7367520,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,J0343,J0343-DR-XXL,Western Dress,XXL,B09831TPR5,Cancelled,0,,,HYDERABAD,TELANGANA,500055.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,2022-04,Saturday
12808,171-7785349-0705959,2022-04-22,Shipped,Amazon,Amazon.in,Expedited,SET374,SET374-KR-NP-L,Set,L,B09NDKQD88,Shipped,1,INR,597.0,Mira road east,MAHARASHTRA,401107.0,IN,,False,,2022-04,Friday
83580,403-7842110-5774748,2022-05-04,Shipped,Amazon,Amazon.in,Expedited,JNE3256,JNE3256-KR-M,kurta,M,B07RQSTQLK,Shipped,1,INR,487.0,BENGALURU,KARNATAKA,560076.0,IN,,False,,2022-05,Wednesday
69970,171-9331771-8148321,2022-05-15,Cancelled,Merchant,Amazon.in,Standard,BTM044,BTM044-PP-XXL,Bottom,XXL,B08L3W3P7D,,0,,,Rohtak,HARYANA,124001.0,IN,,False,Easy Ship,2022-05,Sunday
8230,408-5544230-6957969,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,SET098,SET098-KR-PP-XXXL,Set,3XL,B07X3KPRJ1,Cancelled,0,,,HANUMAN JUNCTION,ANDHRA PRADESH,521105.0,IN,,False,,2022-04,Monday
2893,403-7726259-5563500,2022-04-29,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0335,J0335-DR-XXXL,Western Dress,3XL,B098312LNC,Shipped,1,INR,859.0,MUMBAI,MAHARASHTRA,400098.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO,Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-N6QGG4HRHN6T4,Amazon PLCC Free-Financing Universal Merchant AAT-4UKS7UWZY3AES,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,2022-04,Friday
58598,403-8317361-0643538,2022-05-24,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,MEN5023,MEN5023-KR-L,kurta,L,B08YZ1L831,Shipped,1,INR,777.0,THIRUVANANTHAPURAM,KERALA,695010.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE,Amazon PLCC Free-Financing Universal Merchant AAT-5ZEB2OGNZ32MC,Amazon PLCC Free-Financing Universal Merchant AAT-4ZN7U6MMDFGWM,Amazon PLCC Free-Financing Universal Merchant AAT-PAWHL2EB33U42,Amazon PLCC Free-Financing Universal Merchant AAT-7WX4JYESZISLU,Amazon PLCC Free-Financing Universal Merchant AAT-CIX56SGGAWUYW,Amazon PLCC Free-Financing Universal Merchant AAT-DMQVBJASKTAHS,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,2022-05,Tuesday
73780,403-4768745-1869917,2022-05-11,Shipped,Amazon,Amazon.in,Expedited,NW013,NW013-ST-SR-XXL,Set,XXL,B0928X21RD,Shipped,1,INR,475.0,BENGALURU,KARNATAKA,560043.0,IN,,False,,2022-05,Wednesday
30362,406-4173721-0489907,2022-04-12,Cancelled,Amazon,Amazon.in,Expedited,JNE3399,JNE3399-KR-L,kurta,L,B082W8354V,Cancelled,0,,,COIMBATORE,TAMIL NADU,641006.0,IN,,False,,2022-04,Tuesday
84177,402-9790588-4293127,2022-05-04,Shipped,Amazon,Amazon.in,Expedited,JNE2100,JNE2100-KR-144-M,kurta,M,B078Q3C6QS,Shipped,1,INR,357.0,HYDERABAD,TELANGANA,500010.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,2022-05,Wednesday
102459,402-5472084-1085151,2022-06-19,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET145,SET145-KR-NP-M,Set,M,B0822TVYZ1,Shipped,1,INR,764.0,BENGALURU,KARNATAKA,560029.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-EWAPBB6BDRGM6,Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO,Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-NT3ZJJGQ3JK3Q,Amazon PLCC Free-Financing Universal Merchant AAT-6XVEGAWJUJYXG,Amazon PLCC Free-Financing Universal Merchant AAT-BOWEMQBNNNHBK,Amazon PLCC Free-Financing Universal Merchant AAT-SKYXW7T3UZBGO,Amazon PLCC Free-Financing Universal Merchant AAT-ONHQI6RQUNGB6,Amazon PLCC Free-Financing Universal Merchant AAT-7L53RVBBSPI3S,Amazon PLCC Free-Financing Universal Merchant AAT-FXGH5APHPAWRQ,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,2022-06,Sunday
90658,404-6307018-0008308,2022-05-01,Shipped,Amazon,Amazon.in,Expedited,JNE3787,JNE3787-KR-XXL,kurta,XXL,B09RKBXH45,Shipped,1,INR,487.0,MANNARKAD,KERALA,678596.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,2022-05,Sunday
